"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02076V02508","Age Group","UNIT","VALUE"
"NTA77C10","Not available at time of last purchase","2021","2021","1","Male","503","45 - 59 years","%","0.5"
"NTA77C10","Not available at time of last purchase","2021","2021","1","Male","557","60 - 74 years","%","0.7"
"NTA77C10","Not available at time of last purchase","2021","2021","1","Male","605","75 years and over","%","2.4"
"NTA77C10","Not available at time of last purchase","2021","2021","2","Female","3502","18 - 29 years","%","2.2"
"NTA77C10","Not available at time of last purchase","2021","2021","2","Female","450","30 - 44 years","%","0.6"
"NTA77C10","Not available at time of last purchase","2021","2021","2","Female","503","45 - 59 years","%","1.6"
"NTA77C10","Not available at time of last purchase","2021","2021","2","Female","557","60 - 74 years","%","2.5"
"NTA77C10","Not available at time of last purchase","2021","2021","2","Female","605","75 years and over","%","1.1"
"NTA77C11","Other","2021","2021","1","Male","3502","18 - 29 years","%","10.8"
"NTA77C11","Other","2021","2021","1","Male","450","30 - 44 years","%","5"
"NTA77C11","Other","2021","2021","1","Male","503","45 - 59 years","%","8"
"NTA77C11","Other","2021","2021","1","Male","557","60 - 74 years","%","6"
"NTA77C11","Other","2021","2021","1","Male","605","75 years and over","%","9.1"
"NTA77C11","Other","2021","2021","2","Female","3502","18 - 29 years","%","8.5"
"NTA77C11","Other","2021","2021","2","Female","450","30 - 44 years","%","4.8"
"NTA77C11","Other","2021","2021","2","Female","503","45 - 59 years","%","9.2"
"NTA77C11","Other","2021","2021","2","Female","557","60 - 74 years","%","9.3"
"NTA77C11","Other","2021","2021","2","Female","605","75 years and over","%","10.2"
